text,label
Exclusive offer just for you. Don’t miss out!,1
This is just a quick check-in.,0
Don't forget about the training session today.,0
Attached is the agenda for tomorrow’s meeting.,0
Let’s schedule a call to discuss the project.,0
Start your online business today.,1
Reminder: Team meeting tomorrow at 10 AM.,0
Here’s the link to the new tool we discussed.,0
"Congratulations, you’ve won a trip to the Bahamas!",1
Lowest mortgage rates ever! Apply today.,1
Secret strategy to earn passive income revealed!,1
Project is on track for completion.,0
Thanks for your help with the proposal.,0
Please review the attached report and provide feedback.,0
Check this urgent message from the IRS.,1
Can we push the deadline by a day?,0
Can you send me the updated pricing sheet?,0
Work from home and earn daily payouts.,1
The final version is now available in the drive.,0
Here are the photos from the team outing.,0
Please RSVP by end of day.,0
Get a loan in minutes – no paperwork needed.,1
Act fast! This deal ends today.,1
Following up on the earlier conversation.,0
Download your invoice – action required.,1
Do you need any help with the setup?,0
Your computer has been infected – scan now.,1
Don’t miss this once-in-a-lifetime chance!,1
WINNER! You just won a brand new iPhone!,1
Download this app and get paid instantly.,1
Final notice: Renew your antivirus subscription.,1
Let’s start the sprint planning today.,0
Make money fast by joining our affiliate program.,1
Here’s the summary of our discussion.,0
Congratulations on your cash prize!,1
Can you confirm your attendance?,0
You’ve been chosen to receive $500 for free.,1
Please complete the survey by Friday.,0
Easy approval for all loans – apply now.,1
Notes from the strategy session are ready.,0
The invoice has been processed.,0
Meeting rescheduled to 3 PM.,0
Let’s finalize the layout this week.,0
Here are the notes from today’s client call.,0
Urgent: Your account has been suspended. Reset password now.,1
One click to financial freedom.,1
"You’ve been pre-approved for a $10,000 loan. No credit check.",1
Doctor reveals anti-aging secrets.,1
Earn $1000 a week from home with this one simple trick!,1
I’m working from home today.,0
Please find the invoice attached.,0
Good luck on your exam tomorrow!,0
We’ll need your input before finalizing the document.,0
Get rich quick! Limited time investment opportunity.,1
What’s the status on the QA testing?,0
Update your bank info to avoid closure.,1
Can you review this design mockup?,0
Limited seats left for the millionaire webinar.,1
We’ve updated the documentation.,0
You're our lucky visitor! Click to spin and win.,1
Earn while you sleep with our automated system.,1
Confirm your account now to avoid deactivation.,1
I’ve shared the folder with you on Google Drive.,0
Watch this shocking video before it's deleted!,1
I’ll be out of office on Friday.,0
Secure your future with crypto – sign up now.,1
New hire orientation starts at 9 AM.,0
Click to see what your friends are saying about you.,1
Update: The deployment is complete.,0
Bitcoin at record low – buy now!,1
Let’s review the analytics next week.,0
Lowest prices of the year – up to 90% off!,1
Amazing discount on your favorite brands. Shop now!,1
Hot stock tip: double your money in one week!,1
100% guaranteed weight loss with our new product.,1
Confirm shipment address to receive your prize.,1
Claim your free reward now by completing a short survey.,1
Looking forward to your feedback.,0
This email is to inform you of a lottery you won.,1
I'll share the performance metrics soon.,0
Meet singles in your area now!,1
This opportunity won’t last – act now!,1
Let’s connect next week to go over the timeline.,0
Urgent: Your billing details are outdated.,1
Final deadline is next Monday.,0
Apologies for the late reply.,0
We’ll sync up after the client call.,0
Boost your credit score instantly – free service.,1
Thanks for the quick turnaround on the edits.,0
Unlock your special gift before it expires!,1
Great job on the presentation yesterday!,0
Thanks for organizing the event.,0
You have been selected to receive a free gift card. Click here!,1
You have pending funds – claim them now.,1
I'll be joining remotely.,0
Lunch tomorrow? Let me know your availability.,0
Special promo for first 100 users only!,1
You qualify for debt relief – check eligibility.,1
This is a gentle reminder for the payment due.,0
